,date,user,text,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,result
104,2020/3/14 0:50,SkypeTherapist,Online #Mindfulness Therapy for the treatment of #Anxiety &amp; #Depression. Contact me if you are motivated to break free from your anxiety or depression. Visit my website to learn more: https://t.co/wA24wSaK62,nan,nan,nan,nan,online #mindfulness therapy treatment #anxiety #depression contact motivated break free from your anxiety depression visit website learn more
105,2020/3/14 0:50,DISCONETFM,Now Playing: Mercy Mercy - What Are We Gonna Do About It | #80s #disco #funk #radio #nowplaying  |  [[[[[   TUNE IN:  https://t.co/Emm2VCiflJ   ]]]]] https://t.co/HydRIv6FPK,nan,nan,nan,nan,playing mercy mercy what gonna about #disco #funk #radio #nowplaying tune
106,2020/3/14 0:50,D4realx3,RT @KingdomNubia: We are playing Teejay - Shub Out https://t.co/5eovhYfHma #reggae #hiphop #funk #music,nan,nan,nan,nan,playing teejay shub #reggae #hiphop #funk #music
107,2020/3/14 0:50,70sdisconights,#NowPlaying Keep On Jumpin' by Musique! Find us at: Google Play: https://t.co/lirLoRs1Ot Apple Store: https://t.co/mw3yTrZpWU Web Page: https://t.co/cXYoMn6RKl #Funk #DiscoMusic #Oldies #70s #DiscoNights #OldiesButGoodies,nan,nan,nan,nan,#nowplaying keep jumpin musique find google play apple store page #funk #discomusic #oldies #disconights #oldiesbutgoodies
108,2020/3/14 0:50,EmoTrashfire,Left my nail polish and eyeliner at my other house,nan,nan, yeehaw for looking McAwful. #depression #fuck,nan,left nail polish eyeliner other house
109,2020/3/14 0:50,RuthingT,RT @biblegateway: John 16:33/ Philippians 4:6 /Matthew 6:34 /1 Peter 5:7/ Lamentations 3:57 ,nan,nan,nan,nan,john philippians matthew peter lamentations
110,2020/3/14 0:50,deffrenchies,#EnEcoute 馃帶,nan,nan,nan,nan,#enecoute
111,2020/3/14 0:51,behnam2511,#corona #virus #fear #scared #tara # https://t.co/gepc08Vjgs,nan,nan,nan,nan,#corona #virus #fear #scared #tara
112,2020/3/14 0:51,Joogle83,This is applicable #PaulAtreides  #LitanyAgainistFear #CoronaOutbreak #COVID銉19   #FrankHerbert #Dune #DuneHype  #Fear https://t.co/DFSSt2Fnyy,nan,nan,nan,nan,this applicable #paulatreides #litanyagainistfear #coronaoutbreak #covid #frankherbert #dune #dunehype #fear
113,2020/3/14 0:52,EddMessi,"RT @bghost_frases: ""Creo que no le importo a nadie""",nan,nan,nan,nan,creo importo nadie
114,2020/3/14 0:53,simonpimenta,#ME CFS When I had CFS I was continually in a state of #fear: 5 Tips for doing more https://t.co/5FZWBkVVTM,nan,nan,nan,nan,when continually state #fear tips doing more
115,2020/3/14 0:53,dennycranium,This.... Line at the Gun Shop... We should be working together to help each other  not preparing to fight. #gunswontkillcoronavirus #fear #coronavirus #cometogether #community #kindness https://t.co/4CLdY5M3as,nan,nan,nan,nan,this line shop should working together help each other preparing fight #gunswontkillcoronavirus #fear #coronavirus #cometogether #community #kindness
116,2020/3/14 0:53,FJRrecords2015,RT @sharonePack: 馃尓,nan,nan,nan,nan,
117,2020/3/14 0:53,DlTg65,#Funk #bregafunk #2020Vision,nan,nan,nan,nan,#funk #bregafunk vision
118,2020/3/14 0:54,UndercoverIndi,RT @mikkwallace: Imo #Fear is contagious,nan,nan,nan,nan,#fear contagious
119,2020/3/14 0:54,70sdisconights,#NowPlaying Dancing Machine by Jackson 5! Find us at: Google Play: https://t.co/lirLoRs1Ot Apple Store: https://t.co/mw3yTrZpWU Web Page: https://t.co/cXYoMn6RKl #Funk #DiscoMusic #Oldies #70s #DiscoNights #OldiesButGoodies,nan,nan,nan,nan,#nowplaying dancing machine jackson find google play apple store page #funk #discomusic #oldies #disconights #oldiesbutgoodies
120,2020/3/14 0:54,TheseThotBoys,RT @SandraLimaDs: https://t.co/X6bqtbgLej ... novinhas gostosas dan莽ando #sexy #funk #desinibidas #DeliveryLove  #RaveDeFavelaMeiaNoite  #d鈥,nan,nan,nan,nan,novinhas gostosas ando #sexy #funk #desinibidas #deliverylove #ravedefavelameianoite
121,2020/3/14 0:55,SkypeTherapist,Online #Mindfulness Therapy via Skype for the treatment of #OCD obsessive intrusive thoughts and traumatic memory images. Contact me to learn more:聽https://t.co/e4DyZMT248聽 #OCDrecovery #OCDawareness #anxiety #depression #therapy,nan,nan,nan,nan,online #mindfulness therapy skype treatment #ocd obsessive intrusive thoughts traumatic memory images contact learn more #ocdrecovery #ocdawareness #anxiety #depression #therapy
122,2020/3/14 0:56,JahsFlowerTLC,#PositiveVibesAndEncouragementDAILY: #SuicideAwareness #Depression #Dementia #COVID銉19 #CoronaVirus #China #Wuhan #EuropeanTravelBan #EuropeanUnion #Italy #France #Spain #SouthKorea #Stocks https://t.co/yhzqqmIFO3,nan,nan,nan,nan,#positivevibesandencouragementdaily #suicideawareness #depression #dementia #covid #coronavirus #china #wuhan #europeantravelban #europeanunion #italy #france #spain #southkorea #stocks
123,2020/3/14 0:56,DISCONETFM,Now Playing: El DeBarge With DeBarge - You Wear It Well | #80s #disco #funk #radio #nowplaying  |  [[[[[   TUNE IN:  https://t.co/Emm2VCiflJ   ]]]]] https://t.co/hK4mptciGg,nan,nan,nan,nan,playing debarge with debarge wear well #disco #funk #radio #nowplaying tune
124,2020/3/14 0:57,PowersLaton,RT @PowersLaton: This hasn鈥檛 worked and nothing else has. Tomorrow I鈥檒l lose everything I have. Please help and retweet. #NationalEmergency鈥 This #Twitter account is a last ditch effort for #help. I was on Twitter before. I deleted my account because it was nonstop arguments and people trying to achieve gotcha moments. I started this account to ask for help. I鈥檝e tried everything I can. Tried #GoFundMe. Nothing.,nan,nan,nan,nan,this hasn worked nothing else tomorrow lose everything have please help retweet #nationalemergency this #twitter account last ditch effort #help twitter before deleted account because nonstop arguments people trying achieve gotcha moments started this account help tried everything tried #gofundme nothing
