,date,user,text,result
37,2020/3/13 23:18,mckinley_aw,RT @Toppromoterxox: The #gorgeous #amazing #sexy @wildrileyjames Is looking outstanding and love working with her and will have so much mor鈥,#gorgeous #amazing #sexy looking outstanding love working with will have much
38,2020/3/13 23:18,percs31,#meme #memes #hilarious #repost #explorepage #explore #follow #followers #funny #worldstar #world #funnymemes #funnyposts #funnyvideos #imvu #bestmemes #amazing #epic #cool #dankmemes #dankmemesdaily #memez鈥 https://t.co/2lorywHFVG,#meme #memes #hilarious #repost #explorepage #explore #follow #followers #funny #worldstar #world #funnymemes #funnyposts #funnyvideos #imvu #bestmemes #amazing #epic #cool #dankmemes #dankmemesdaily #memez
39,2020/3/13 23:18,k2worldwide,@ParkerMolloy ...the man is just a pathological liar! It is such a dereliction of his basic duties as president to provide accurate information to the public. Simply an untrustworthy occupant of the White House \ #SAD,just pathological liar such dereliction basic duties president provide accurate information public simply untrustworthy occupant white house #sad
40,2020/3/13 23:18,clay0nline,@JoyAnnReid @kasie #HAHAHAHAHAHAHAHAHAHA,#hahahahahahahahahaha
41,2020/3/13 23:19,percs31,#meme #memes #hilarious #repost #explorepage #explore #follow #followers #funny #worldstar #world #funnymemes #funnyposts #funnyvideos #imvu #bestmemes #amazing #epic #cool #dankmemes #dankmemesdaily #memez鈥 https://t.co/s6NbnxcFJU,#meme #memes #hilarious #repost #explorepage #explore #follow #followers #funny #worldstar #world #funnymemes #funnyposts #funnyvideos #imvu #bestmemes #amazing #epic #cool #dankmemes #dankmemesdaily #memez
42,2020/3/13 23:19,fuenaiwakame620,銆屼綔鍝併倰鎰涖仐銇︽层仐銇勩嶃仺銇勩亞鎬濄亜銇уぇ浜嬨伀鍓点倞銇傘亽銇︺亶銇烻HOCK鈥︺仢銈屻亴姝銇俱仯銇︺亜銈嬩粖銆佸骇闀枫伅鏈褰撱伀鎮斻仐銇勮嫤銇椼亜鎮层仐銇勬皸鎸併仭銇с亜銇ｃ伇銇勪綍銇犮倣銇嗐仾,hock
43,2020/3/13 23:19,Cen326,RT @fujitvplus: 銆庨ｇ稓銉夈偔銉ャ儭銉炽偪銉銉 RIDE ON TIME銆,ride time
44,2020/3/13 23:19,EfrainFlores27,RT @ariannabucio: Im #sad because all the effort we鈥檝e put into the musical is for nothing... it feels super unfair to cancel our show and鈥,#sad because effort into musical nothing feels super unfair cancel show
45,2020/3/13 23:19,51_244_maki,RT @fujitvplus: 銆庨ｇ稓銉夈偔銉ャ儭銉炽偪銉銉 RIDE ON TIME銆,ride time
46,2020/3/13 23:19,kzy223,RT @fujitvplus: 銆庨ｇ稓銉夈偔銉ャ儭銉炽偪銉銉 RIDE ON TIME銆,ride time
47,2020/3/13 23:19,kameuenaka2,RT @fujitvplus: 銆庨ｇ稓銉夈偔銉ャ儭銉炽偪銉銉 RIDE ON TIME銆,ride time
48,2020/3/13 23:19,0101pika1228,RT @fujitvplus: 銆庨ｇ稓銉夈偔銉ャ儭銉炽偪銉銉 RIDE ON TIME銆,ride time
49,2020/3/13 23:19,tobiasviaret,re #sad,#sad
50,2020/3/13 23:20,fcr247,RT @DrJimmyStar: Download The Jimmy and Ron Song - the New Single by 鈦@twizmwhytepiece鈦 #amazing #gratitude  https://t.co/muP8yUBbN4 https:鈥,download jimmy song single #amazing #gratitude https
