,date,user,text,result
115,2020/3/14 4:42,LorenB911,@TuckerCarlson good job tonight pushing the liberal agenda. Fear mongering and politicizing this issue will not help. Your asking a program manager  to count how many pencils are in a workers desk. Ventilators?? Really??? Most are getting better without treatment. #disappointed,good tonight pushing liberal agenda fear mongering politicizing this issue will help your asking program manager count many pencils workers desk ventilators really most getting better without treatment #disappointed
116,2020/3/14 4:42,A_Big_Hell_NO,#Denver #Colorado and anyone else that has COMCAST as a provider-,#denver #colorado anyone else that comcast provider
117,2020/3/14 4:45,septimoartecol,ESPECIAL: Viernes 13 (Parte 23) 馃槇,especial viernes parte
118,2020/3/14 4:47,gilbertscott,Quick! Look Up Denver! The International Space Station is passing overhead March 13,quick look denver international space station passing overhead march
119,2020/3/14 4:48,suzebuff,RT @A_Big_Hell_NO: #Denver #Colorado and anyone else that has COMCAST as a provider-,#denver #colorado anyone else that comcast provider
120,2020/3/14 4:48,Basic_Chunnel,RT @CocoDavies: #Denver/#Colorado: if you have resources/info to share that will help our community with #COVID19 related impacts,#denver #colorado have resources info share that will help community with #covid related impacts
121,2020/3/14 4:49,ZubairAliAwan3,RT @Dani97021: I like kissing your shoulders ,like kissing your shoulders
122,2020/3/14 4:54,hirefantastic,The Trade Desk is looking for a Senior Product Manager  Colorado) #denver #TheTradeDesk https://t.co/3CgCuIKmJ8,trade desk looking senior product manager colorado #denver #thetradedesk
123,2020/3/14 4:57,AliGreen2468,@Dahlia_Sin your attitude was absolutely one of the most embarrassing displays of poor sport I have ever seen. You walked off the stage like a bitch who didn鈥檛 get her way. The drag community and the world now know who you truly are #disappointed #RuPaulsDragRace #rupauldragrace,your attitude absolutely most embarrassing displays poor sport have ever seen walked stage like bitch didn drag community world know truly #disappointed #rupaulsdragrace #rupauldragrace
124,2020/3/14 4:58,A_Big_Hell_NO,Uh oh...,
125,2020/3/14 4:59,AliGreen2468,@Dahlia_Sin explain why you think your face is all you need when you couldn鈥檛 even nail the rap portion of 鈥淧roblem鈥 #disappointed #RuPaulsDragRace #rupauldragrace,explain think your face need when couldn even nail portion roblem #disappointed #rupaulsdragrace #rupauldragrace
126,2020/3/14 4:59,chrishuizar,RT @chrishuizar: See PLENTY more EXCLUSIVE content NOW 馃槼馃槼馃槼,plenty more exclusive content
127,2020/3/14 5:01,babiboi090,RT @chrishuizar: See PLENTY more EXCLUSIVE content NOW 馃槼馃槼馃槼,plenty more exclusive content
128,2020/3/14 5:01,Diana14541,Do you want me to undress online? I have a Beautiful Body (.) (.) ,want undress online have beautiful body
129,2020/3/14 5:02,that5280lady,West Colfax is eerie tonight. Traffic is light. Overhead lights of car lots are off. It's dark and creepy in a different kind of way! ,west colfax eerie tonight traffic light overhead lights lots dark creepy different kind
130,2020/3/14 5:03,platteforum,Important thread about accessing services right now  SNAP and more #Denver,important thread about accessing services right snap more #denver
131,2020/3/14 5:05,BlackHaxk,Not sure what @Ubisoft was thinking with their last update but they officially ruined one of my favorite shooter games  Division 2!  The game now makes my head hurt.  #gaming #disappointed,sure what thinking with their last update they officially ruined favorite shooter games division game makes head hurt #gaming #disappointed
132,2020/3/14 5:06,tesssulaman,And #OurGirls you must 鈥渏ust forget it.鈥 And if you can鈥檛. Get some popcorn. Your choice. ~#DadPsychology (about DISGUSTING 鈥渉urt鈥),#ourgirls must forget some popcorn your choice #dadpsychology about disgusting
133,2020/3/14 5:07,2HappyKittyz,@AudaciousWypipo @datDrewMcManus @FF_fanster @Quiptography @tomselliott @AOC However,however
134,2020/3/14 5:08,I_am_Tippy,@LHSummers  I really wonder why of all the countries you had to choose on Zambia. Deal with your problems and leave zambia out of it. #disappointed ,really wonder countries choose zambia deal with your problems leave zambia #disappointed
135,2020/3/14 5:09,djalexreyes,RT @DJSKRIBBLE: Due to our current events better safe than sorry #denver @barstandard we are only postponed I will be back and gonna give y鈥,current events better safe than sorry #denver only postponed will back gonna give
136,2020/3/14 5:10,Glams_Radio,#Now playing on @Glams_Radio : #Fury (Original Mix) by #Angry Deep! Tune in now and enjoy sound of #DeepHouse #Love #Music,#now playing #fury original #angry deep tune enjoy sound #deephouse #love #music
137,2020/3/14 5:10,FosterCareToday,RT @platteforum: Important thread about accessing services right now,important thread about accessing services right
138,2020/3/14 5:10,marroquindiego,My dear friend taking her very first guitar lesson. 馃槂馃幐 #guitar #lesson #Denver https://t.co/eOjcFThFxy,dear friend taking very first guitar lesson #guitar #lesson #denver
139,2020/3/14 5:11,AuroraJune,Jiving with that social isolation 馃攲  #denver #covid_19 https://t.co/CafesCo58z https://t.co/eLPfY1Qxqf,jiving with that social isolation #denver #covid
140,2020/3/14 5:13,rrent731,Im beginning to think @lyft will just let anyone drive now a days. #annoyed.,beginning think will just anyone drive days #annoyed
141,2020/3/14 5:16,Guira24,RT @FelixLlerenaCUB: Luego de regresar de Tennessee,luego regresar tennessee
142,2020/3/14 5:17,EmpleosIO,#jobs #hiring #Denver #Colorado #USA SAP FI/CO Technology Consulting Manager: We are: Accenture's SAP practice,#jobs #hiring #denver #colorado #usa technology consulting manager accenture practice
143,2020/3/14 5:18,mickolomate,RT @Brill_Brum: @hareandhounds @CCfunkandsoul why on earth have you cancelled tonight,earth have cancelled tonight
144,2020/3/14 5:18,louiee1973,https://t.co/QYPj65zkVI #cornholio #beavis #angry via @gifkeyboard,#cornholio #beavis #angry
145,2020/3/14 5:18,louiee1973,RT @louiee1973: https://t.co/QYPj65zkVI #cornholio #beavis #angry via @gifkeyboard,#cornholio #beavis #angry
146,2020/3/14 5:19,IamForUu,喟啾嵿鞍啾囙爱喟侧眿 喟夃皑啾嵿皑喟啾嵿蔼啾佮啊啾 喟氞翱喟ㄠ睄喟 喟氞翱喟ㄠ睄喟 喟掂翱喟粪隘喟距安喟曕眮 喟曕眾喟啾嵿蔼喟∴眮喟む熬喟..,
147,2020/3/14 5:24,Kiara80541,I want you to scream out my name when you cum #Denver   #snapchat #phonesex https://t.co/MjxVwIvYsy,want scream name when #denver #snapchat #phonesex
148,2020/3/14 5:25,Emily41341,I don鈥檛 like when a guy puts fingers in my pussy. Better fuck #Denver   #young #goddess https://t.co/DD2gkBVJXI,like when puts fingers pussy better fuck #denver #young #goddess
149,2020/3/14 5:26,MarieFromThe303,RT @CocoDavies: #Denver/#Colorado: if you have resources/info to share that will help our community with #COVID19 related impacts,#denver #colorado have resources info share that will help community with #covid related impacts
150,2020/3/14 5:27,mokaonly87,Day 8 #pandemic2020 the federal government has taken over the elevators with wise and friendly messages.,#pandemic federal government taken over elevators with wise friendly messages
