,date,user,text,result
191,2020/3/13 21:11,srone82,RT @wanderingstarz1: #FridayMotivation #SUPPORT DA #FUNKIEST #MOVEMENT ON #TWITTER #TheOhioPlayersProject #BIOPIC @Ruby2211250220 @OnlyGod8鈥,#FridayMotivation #SUPPORT #FUNKIEST #MOVEMENT #TWITTER #TheOhioPlayersProject #BIOPIC
192,2020/3/13 21:11,LordJoseph1234,RT @BasedPoland: Turkish President Erdogan says that Greeks are the new nazis because they don鈥檛 allow in the tens of thousands of African鈥,Turkish President Erdogan says that Greeks nazis because they allow tens thousands African
193,2020/3/13 21:11,cabin_light,Call us today and join us for your next #adventure / #cls #cabinlightstudios #provideocontent #callustoday鈽 @ Cabin Light Studios https://t.co/kD5Eg55N2J,Call today join your next #adventure #cls #cabinlightstudios #provideocontent #callustoday Cabin Light Studios
194,2020/3/13 21:11,urmumghey69420,RT @BasedPoland: Turkish President Erdogan says that Greeks are the new nazis because they don鈥檛 allow in the tens of thousands of African鈥,Turkish President Erdogan says that Greeks nazis because they allow tens thousands African
195,2020/3/13 21:11,i_SandeepNikam,RT @BasedPoland: Turkish President Erdogan says that Greeks are the new nazis because they don鈥檛 allow in the tens of thousands of African鈥,Turkish President Erdogan says that Greeks nazis because they allow tens thousands African
196,2020/3/13 21:11,charles_parkton,RT @BasedPoland: Turkish President Erdogan says that Greeks are the new nazis because they don鈥檛 allow in the tens of thousands of African鈥,Turkish President Erdogan says that Greeks nazis because they allow tens thousands African
197,2020/3/13 21:11,ExploreAmadeus,RT @HolidaysNG: #CostaRica is gifted with almost perfect weather year-round. Tropical rainforests,#CostaRica gifted with almost perfect weather year round Tropical rainforests
198,2020/3/13 21:11,karlnazarethart,SUPERSTAR TYPE ISH 馃捈,SUPERSTAR TYPE
199,2020/3/13 21:11,13randyrabbits,RT @BasedPoland: Turkish President Erdogan says that Greeks are the new nazis because they don鈥檛 allow in the tens of thousands of African鈥,Turkish President Erdogan says that Greeks nazis because they allow tens thousands African
200,2020/3/13 21:12,corrado_g69,RT @BasedPoland: Turkish President Erdogan says that Greeks are the new nazis because they don鈥檛 allow in the tens of thousands of African鈥,Turkish President Erdogan says that Greeks nazis because they allow tens thousands African
201,2020/3/13 21:12,skinnysumo09,RT @BasedPoland: Turkish President Erdogan says that Greeks are the new nazis because they don鈥檛 allow in the tens of thousands of African鈥,Turkish President Erdogan says that Greeks nazis because they allow tens thousands African
202,2020/3/13 21:12,AdventureNames,Adventure Module JJ16,Adventure Module
203,2020/3/13 21:12,LisaSkidmore11,RT @BasedPoland: Turkish President Erdogan says that Greeks are the new nazis because they don鈥檛 allow in the tens of thousands of African鈥,Turkish President Erdogan says that Greeks nazis because they allow tens thousands African
204,2020/3/13 21:12,Indiawandersoff,RT @DosePlanes: TOP 10 CRAZIEST REQUESTS FROM AIRPLANE PASSENGERS ,CRAZIEST REQUESTS FROM AIRPLANE PASSENGERS
205,2020/3/13 21:12,PJones1776,RT @BasedPoland: Turkish President Erdogan says that Greeks are the new nazis because they don鈥檛 allow in the tens of thousands of African鈥,Turkish President Erdogan says that Greeks nazis because they allow tens thousands African
206,2020/3/13 21:12,romulusata,RT @BasedPoland: Turkish President Erdogan says that Greeks are the new nazis because they don鈥檛 allow in the tens of thousands of African鈥,Turkish President Erdogan says that Greeks nazis because they allow tens thousands African
207,2020/3/13 21:12,YvetteHenson,RT @BasedPoland: Turkish President Erdogan says that Greeks are the new nazis because they don鈥檛 allow in the tens of thousands of African鈥,Turkish President Erdogan says that Greeks nazis because they allow tens thousands African
208,2020/3/13 21:12,rtArtBoost,RT @mindypiano: @HGNISANOM 馃幑#Warmth of #Hope and #Peaceful馃幑#NewMusic #SpotifyPlaylist:,#Warmth #Hope #Peaceful #NewMusic #SpotifyPlaylist
209,2020/3/13 21:12,patroit17762021,RT @BasedPoland: Turkish President Erdogan says that Greeks are the new nazis because they don鈥檛 allow in the tens of thousands of African鈥,Turkish President Erdogan says that Greeks nazis because they allow tens thousands African
210,2020/3/13 21:12,jessicadelgra,RT @BasedPoland: Turkish President Erdogan says that Greeks are the new nazis because they don鈥檛 allow in the tens of thousands of African鈥,Turkish President Erdogan says that Greeks nazis because they allow tens thousands African
211,2020/3/13 21:12,ManMadeCustoms,S#!T is getting real. Here鈥檚 a tribute to the good ole days. Shop My Gun Catalog on Man Made Customs.,getting real Here tribute good days Shop Catalog Made Customs
212,2020/3/13 21:12,Adsvel,RT @BasedPoland: Turkish President Erdogan says that Greeks are the new nazis because they don鈥檛 allow in the tens of thousands of African鈥,Turkish President Erdogan says that Greeks nazis because they allow tens thousands African
213,2020/3/13 21:12,jmedeiros71,RT @BasedPoland: Turkish President Erdogan says that Greeks are the new nazis because they don鈥檛 allow in the tens of thousands of African鈥,Turkish President Erdogan says that Greeks nazis because they allow tens thousands African
214,2020/3/13 21:12,john31569,RT @BasedPoland: Turkish President Erdogan says that Greeks are the new nazis because they don鈥檛 allow in the tens of thousands of African鈥,Turkish President Erdogan says that Greeks nazis because they allow tens thousands African
215,2020/3/13 21:12,BanishedOf,RT @BasedPoland: Turkish President Erdogan says that Greeks are the new nazis because they don鈥檛 allow in the tens of thousands of African鈥,Turkish President Erdogan says that Greeks nazis because they allow tens thousands African
216,2020/3/13 21:12,byloveelissa,RT @emahlee13: It's #ThrowbackThursday so let's throw it back to one of my old posts: how about that time I went to Paris? Ooh la la! I'd l鈥,#ThrowbackThursday throw back posts about that time went Paris
217,2020/3/13 21:12,elainethrash,I鈥檓 my own canvas.,canvas
218,2020/3/13 21:12,Glitter_Rock,Memories of #Crazy Magazine #54 (1979)!,Memories #Crazy Magazine
219,2020/3/13 21:12,ElalamiAmine,馃洡馃尣馃尦,
